operator_id,language,language_name,lemma,forms,examples,notes,grammar_role,symbol
op:core:be,pl,Polish,być / jest,być|jest|są|był|była|będzie,Woda jest cieczą. || Człowiek jest w domu.,"copula can mark class, identity, location or state",copula|identity|existence|state_binding,"≡ / Is(x,y) / Exists(x)"
op:core:be,en,English,be / is,be|is|are|was|were|will be,Water is a liquid. || The person is at home.,copula/state/existence helper,copula|identity|existence|state_binding,"≡ / Is(x,y) / Exists(x)"
op:core:be,de,German,sein / ist,sein|ist|sind|war|waren,Wasser ist eine Flüssigkeit. || Der Mensch ist zu Hause.,copula with case/articles,copula|identity|existence|state_binding,"≡ / Is(x,y) / Exists(x)"
op:core:be,fr,French,être / est,être|est|sont|était|sera,L’eau est un liquide. || La personne est à la maison.,copula and state binding,copula|identity|existence|state_binding,"≡ / Is(x,y) / Exists(x)"
op:core:be,es,Spanish,ser/estar / es/está,ser|estar|es|está|son|están|fue,El agua es un líquido. || La persona está en casa.,ser/estar split: identity vs state/location,copula|identity|existence|state_binding,"≡ / Is(x,y) / Exists(x)"
op:core:have,pl,Polish,mieć / ma,mieć|ma|mam|masz|miał|miała,Jan ma psa. || Dom ma dach. || Woda ma temperaturę.,highly polyfunctional possession operator,possession|property_attachment|part_relation|state_attachment,"Have(x,y)"
op:core:have,en,English,have / has,have|has|had|having,John has a dog. || The house has a roof. || Water has temperature.,possession/property/part/state,possession|property_attachment|part_relation|state_attachment,"Have(x,y)"
op:core:have,de,German,haben / hat,haben|hat|habe|hast|hatte,Jan hat einen Hund. || Das Haus hat ein Dach.,possession and auxiliary,possession|property_attachment|part_relation|state_attachment,"Have(x,y)"
op:core:have,fr,French,avoir / a,avoir|a|ai|as|avait,Jean a un chien. || La maison a un toit.,possession and auxiliary,possession|property_attachment|part_relation|state_attachment,"Have(x,y)"
op:core:have,es,Spanish,tener / tiene,tener|tiene|tengo|tienes|tuvo,Juan tiene un perro. || La casa tiene un techo.,possession/state/property,possession|property_attachment|part_relation|state_attachment,"Have(x,y)"
op:core:contain,pl,Polish,zawiera,zawiera|zawierają|zawierał|zawierający,Szklanka zawiera wodę.,container-focused dual of inside,spatial_relation|set_inclusion|topological_relation,"Contains(y,x) ⇔ Inside(x,y)"
op:core:contain,en,English,contain / contains,contain|contains|contained|containing,The glass contains water.,container-focused,spatial_relation|set_inclusion|topological_relation,"Contains(y,x) ⇔ Inside(x,y)"
op:core:contain,de,German,enthalten / enthält,enthalten|enthält|enthielt,Das Glas enthält Wasser.,container/content relation,spatial_relation|set_inclusion|topological_relation,"Contains(y,x) ⇔ Inside(x,y)"
op:core:contain,fr,French,contenir / contient,contenir|contient|contenait,Le verre contient de l’eau.,container-focused,spatial_relation|set_inclusion|topological_relation,"Contains(y,x) ⇔ Inside(x,y)"
op:core:contain,es,Spanish,contener / contiene,contener|contiene|contenía,El vaso contiene agua.,container-focused,spatial_relation|set_inclusion|topological_relation,"Contains(y,x) ⇔ Inside(x,y)"
op:core:inside,pl,Polish,w / wewnątrz / w środku,w|wewnątrz|w środku|we wnętrzu,Woda jest w szklance.,maps to interior relation,spatial_relation|topological_relation|localizer,"Inside(x,y) ⇔ Contains(y,x)"
op:core:inside,en,English,in / inside,in|inside|within,Water is in the glass.,object-in-container relation,spatial_relation|topological_relation|localizer,"Inside(x,y) ⇔ Contains(y,x)"
op:core:inside,de,German,in / innerhalb,in|im|innerhalb,Wasser ist im Glas.,dative/accusative split may mark state vs motion,spatial_relation|topological_relation|localizer,"Inside(x,y) ⇔ Contains(y,x)"
op:core:inside,fr,French,dans / à l’intérieur,dans|à l’intérieur de,L’eau est dans le verre.,interior localizer,spatial_relation|topological_relation|localizer,"Inside(x,y) ⇔ Contains(y,x)"
