concept_id,canonical_label_en,domain,language,language_name,lemma,brief_description,near_synonyms_seed,antonyms_seed,forms_seed,context_examples_seed,operator_tags,semantic_mass_seed,phase_seed_rad,grammar_case_marking,grammar_fixed_word_order,grammar_gender_marking,grammar_article_system,grammar_aspect_marking,grammar_preposition_load,grammar_inflection_load,grammar_topic_focus_particles
concept:water,water,elemental,pl,Polish,woda,płynna substancja podstawowa dla życia i przepływu,płyn | ciecz,ogień | susza,woda | woda jako hasło | woda w kontekście,Woda tworzy lokalny atraktor sensu.,inside | contains | flow | with | without,0.5938,0.0,0.95,0.35,0.85,0.05,0.9,0.7,0.9,0.2
concept:water,water,elemental,en,English,water,a liquid substance central to life and flow,liquid | fluid,fire | dryness,water | waters | water as concept,Water forms a local semantic attractor.,inside | contains | flow | with | without,0.5938,0.0,0.15,0.9,0.15,0.85,0.55,0.85,0.25,0.2
concept:water,water,elemental,de,German,Wasser,"flüssige Substanz, zentral für Leben und Fluss",Flüssigkeit,Feuer | Trockenheit,Wasser | Wasser als Begriff | Wasser im Kontext,Wasser bildet einen lokalen Bedeutungsattraktor.,inside | contains | flow | with | without,0.5938,0.0,0.65,0.55,0.85,0.85,0.4,0.75,0.7,0.25
concept:water,water,elemental,fr,French,eau,substance liquide centrale pour la vie et le flux,liquide,feu | sécheresse,eau | eau comme concept | eau en contexte,Eau forme un attracteur sémantique local.,inside | contains | flow | with | without,0.5938,0.0,0.05,0.75,0.75,0.9,0.45,0.8,0.55,0.25
concept:water,water,elemental,es,Spanish,agua,sustancia líquida central para la vida y el flujo,líquido | fluido,fuego | sequedad,agua | agua como concepto | agua en contexto,Agua forma un atractor semántico local.,inside | contains | flow | with | without,0.5938,0.0,0.1,0.6,0.8,0.85,0.75,0.75,0.7,0.25
concept:fire,fire,elemental,pl,Polish,ogień,"zjawisko spalania, ciepła, światła i przemiany",płomień | żar,woda | zimno,ogień | ogień jako hasło | ogień w kontekście,Ogień tworzy lokalny atraktor sensu.,transforms | destroys | creates | because,0.6375,0.174533,0.95,0.35,0.85,0.05,0.9,0.7,0.9,0.2
concept:fire,fire,elemental,en,English,fire,"combustion, heat, light and transformation",flame | blaze,water | cold,fire | fires | fire as concept,Fire forms a local semantic attractor.,transforms | destroys | creates | because,0.6375,0.174533,0.15,0.9,0.15,0.85,0.55,0.85,0.25,0.2
concept:fire,fire,elemental,de,German,Feuer,"Verbrennung, Wärme, Licht und Verwandlung",Flamme | Brand,Wasser | Kälte,Feuer | Feuer als Begriff | Feuer im Kontext,Feuer bildet einen lokalen Bedeutungsattraktor.,transforms | destroys | creates | because,0.6375,0.174533,0.65,0.55,0.85,0.85,0.4,0.75,0.7,0.25
concept:fire,fire,elemental,fr,French,feu,"combustion, chaleur, lumière et transformation",flamme | brasier,eau | froid,feu | feu comme concept | feu en contexte,Feu forme un attracteur sémantique local.,transforms | destroys | creates | because,0.6375,0.174533,0.05,0.75,0.75,0.9,0.45,0.8,0.55,0.25
concept:fire,fire,elemental,es,Spanish,fuego,"combustión, calor, luz y transformación",llama | incendio,agua | frío,fuego | fuego como concepto | fuego en contexto,Fuego forma un atractor semántico local.,transforms | destroys | creates | because,0.6375,0.174533,0.1,0.6,0.8,0.85,0.75,0.75,0.7,0.25
concept:earth,earth,elemental,pl,Polish,ziemia,"grunt, materia i stabilny fundament przestrzeni życia",grunt | gleba,niebo | powietrze,ziemia | ziemia jako hasło | ziemia w kontekście,Ziemia tworzy lokalny atraktor sensu.,under | on | contains,0.6813,0.349066,0.95,0.35,0.85,0.05,0.9,0.7,0.9,0.2
concept:earth,earth,elemental,en,English,earth,"ground, matter, and a stable base for life",ground | soil,sky | air,earth | earths | earth as concept,Earth forms a local semantic attractor.,under | on | contains,0.6813,0.349066,0.15,0.9,0.15,0.85,0.55,0.85,0.25,0.2
concept:earth,earth,elemental,de,German,Erde,"Boden, Materie und stabile Lebensgrundlage",Boden | Erdboden,Himmel | Luft,Erde | Erde als Begriff | Erde im Kontext,Erde bildet einen lokalen Bedeutungsattraktor.,under | on | contains,0.6813,0.349066,0.65,0.55,0.85,0.85,0.4,0.75,0.7,0.25
concept:earth,earth,elemental,fr,French,terre,"sol, matière et base stable de la vie",sol | terreau,ciel | air,terre | terre comme concept | terre en contexte,Terre forme un attracteur sémantique local.,under | on | contains,0.6813,0.349066,0.05,0.75,0.75,0.9,0.45,0.8,0.55,0.25
concept:earth,earth,elemental,es,Spanish,tierra,"suelo, materia y base estable de la vida",suelo | terreno,cielo | aire,tierra | tierra como concepto | tierra en contexto,Tierra forma un atractor semántico local.,under | on | contains,0.6813,0.349066,0.1,0.6,0.8,0.85,0.75,0.75,0.7,0.25
concept:air,air,elemental,pl,Polish,powietrze,"gazowe medium oddychania, ruchu i otwartej przestrzeni",atmosfera | tchnienie,próżnia | ziemia,powietrze | powietrze jako hasło | powietrze w kontekście,Powietrze tworzy lokalny atraktor sensu.,through | inside | outside,0.725,0.523599,0.95,0.35,0.85,0.05,0.9,0.7,0.9,0.2
concept:air,air,elemental,en,English,air,"gaseous medium of breathing, motion and open space",atmosphere | breath,vacuum | earth,air | airs | air as concept,Air forms a local semantic attractor.,through | inside | outside,0.725,0.523599,0.15,0.9,0.15,0.85,0.55,0.85,0.25,0.2
concept:air,air,elemental,de,German,Luft,"gasförmiges Medium für Atmung, Bewegung und offenen Raum",Atmosphäre | Atem,Vakuum | Erde,Luft | Luft als Begriff | Luft im Kontext,Luft bildet einen lokalen Bedeutungsattraktor.,through | inside | outside,0.725,0.523599,0.65,0.55,0.85,0.85,0.4,0.75,0.7,0.25
concept:air,air,elemental,fr,French,air,"milieu gazeux de respiration, mouvement et espace ouvert",atmosphère | souffle,vide | terre,air | air comme concept | air en contexte,Air forme un attracteur sémantique local.,through | inside | outside,0.725,0.523599,0.05,0.75,0.75,0.9,0.45,0.8,0.55,0.25
concept:air,air,elemental,es,Spanish,aire,"medio gaseoso de respiración, movimiento y espacio abierto",atmósfera | aliento,vacío | tierra,aire | aire como concepto | aire en contexto,Aire forma un atractor semántico local.,through | inside | outside,0.725,0.523599,0.1,0.6,0.8,0.85,0.75,0.75,0.7,0.25
concept:light,light,perception,pl,Polish,światło,"zjawisko widzialności, energii i odsłaniania",blask | jasność,ciemność | mrok,światło | światło jako hasło | światło w kontekście,Światło tworzy lokalny atraktor sensu.,reveals | through | before,0.7688,0.698132,0.95,0.35,0.85,0.05,0.9,0.7,0.9,0.2
concept:light,light,perception,en,English,light,"visibility, energy, and revealing",brightness | illumination,darkness | shadow,light | lights | light as concept,Light forms a local semantic attractor.,reveals | through | before,0.7688,0.698132,0.15,0.9,0.15,0.85,0.55,0.85,0.25,0.2
concept:light,light,perception,de,German,Licht,"Sichtbarkeit, Energie und Enthüllung",Helligkeit | Glanz,Dunkelheit | Schatten,Licht | Licht als Begriff | Licht im Kontext,Licht bildet einen lokalen Bedeutungsattraktor.,reveals | through | before,0.7688,0.698132,0.65,0.55,0.85,0.85,0.4,0.75,0.7,0.25
concept:light,light,perception,fr,French,lumière,"visibilité, énergie et révélation",clarté | éclat,obscurité | ombre,lumière | lumière comme concept | lumière en contexte,Lumière forme un attracteur sémantique local.,reveals | through | before,0.7688,0.698132,0.05,0.75,0.75,0.9,0.45,0.8,0.55,0.25
concept:light,light,perception,es,Spanish,luz,"visibilidad, energía y revelación",claridad | brillo,oscuridad | sombra,luz | luz como concepto | luz en contexto,Luz forma un atractor semántico local.,reveals | through | before,0.7688,0.698132,0.1,0.6,0.8,0.85,0.75,0.75,0.7,0.25
concept:dark,darkness,perception,pl,Polish,ciemność,"brak światła, zasłonięcie lub pole niepewności",mrok | cień,światło | jasność,ciemność | ciemność jako hasło | ciemność w kontekście,Ciemność tworzy lokalny atraktor sensu.,hides | not | inside,0.8125,0.872665,0.95,0.35,0.85,0.05,0.9,0.7,0.9,0.2
concept:dark,darkness,perception,en,English,darkness,"absence of light, concealment or uncertainty field",shadow | gloom,light | brightness,darkness | darknesss | darkness as concept,Darkness forms a local semantic attractor.,hides | not | inside,0.8125,0.872665,0.15,0.9,0.15,0.85,0.55,0.85,0.25,0.2
