concept_id,canonical_label_en,domain,operator_hook_count,relation_count,semantic_mass_seed,diagnostic_status
concept:water,water,elemental,5,3,0.5938,draft_seed_needs_review
concept:fire,fire,elemental,4,3,0.6375,draft_seed_needs_review
concept:earth,earth,elemental,3,2,0.6813,draft_seed_needs_review
concept:air,air,elemental,3,2,0.725,draft_seed_needs_review
concept:light,light,perception,3,3,0.7688,draft_seed_needs_review
concept:dark,darkness,perception,3,3,0.8125,draft_seed_needs_review
concept:life,life,biological,4,3,0.8562,draft_seed_needs_review
concept:death,death,biological,3,2,0.9,draft_seed_needs_review
concept:body,body,embodiment,3,3,0.55,draft_seed_needs_review
concept:mind,mind,cognitive,3,3,0.5938,draft_seed_needs_review
concept:time,time,spacetime,3,2,0.6375,draft_seed_needs_review
concept:space,space,spacetime,5,3,0.6813,draft_seed_needs_review
concept:motion,motion,dynamics,4,3,0.725,draft_seed_needs_review
concept:rest,rest,dynamics,3,2,0.7688,draft_seed_needs_review
concept:force,force,physics,3,2,0.8125,draft_seed_needs_review
concept:energy,energy,physics,3,2,0.8562,draft_seed_needs_review
concept:matter,matter,physics,3,2,0.9,draft_seed_needs_review
concept:information,information,informational,3,3,0.55,draft_seed_needs_review
concept:truth,truth,epistemic,3,3,0.5938,draft_seed_needs_review
concept:lie,lie,epistemic,3,3,0.6375,draft_seed_needs_review
concept:good,good,ethical,3,3,0.6813,draft_seed_needs_review
concept:harm,harm,ethical,3,3,0.725,draft_seed_needs_review
concept:order,order,structure,3,2,0.7688,draft_seed_needs_review
concept:chaos,chaos,structure,3,2,0.8125,draft_seed_needs_review
concept:center,center,geometry,3,2,0.8562,draft_seed_needs_review
concept:boundary,boundary,geometry,3,2,0.9,draft_seed_needs_review
concept:self,self,relational,3,3,0.55,draft_seed_needs_review
concept:other,other,relational,3,2,0.5938,draft_seed_needs_review
concept:relation,relation,relational,3,3,0.6375,draft_seed_needs_review
concept:memory,memory,cognitive,3,2,0.6813,draft_seed_needs_review
concept:love,love,affective,3,3,0.725,draft_seed_needs_review
concept:fear,fear,affective,3,3,0.7688,draft_seed_needs_review
concept:trust,trust,affective_social,3,3,0.8125,draft_seed_needs_review
concept:pain,pain,affective_body,3,3,0.8562,draft_seed_needs_review
concept:knowledge,knowledge,epistemic,3,3,0.9,draft_seed_needs_review
concept:error,error,epistemic,3,3,0.55,draft_seed_needs_review
concept:answer,answer,cognition_dialogue,4,2,0.582,draft_seed_needs_review
concept:blood,blood,body_life,4,2,0.737,draft_seed_needs_review
concept:border,border,place_boundary,4,2,0.737,draft_seed_needs_review
concept:child,child,social_family,4,2,0.706,draft_seed_needs_review
concept:city,city,place_social,4,2,0.675,draft_seed_needs_review
concept:country,country,place_political,4,2,0.706,draft_seed_needs_review
concept:debt,debt,social_exchange,4,2,0.799,draft_seed_needs_review
concept:door,door,place_boundary,4,2,0.613,draft_seed_needs_review
concept:doubt,doubt,cognition_epistemic,4,2,0.644,draft_seed_needs_review
concept:enemy,enemy,social_relation,4,2,0.551,draft_seed_needs_review
concept:eye,eye,body_perception,4,2,0.582,draft_seed_needs_review
concept:face,face,body_identity,3,2,0.706,draft_seed_needs_review
concept:friend,friend,social_relation,4,2,0.768,draft_seed_needs_review
concept:gift,gift,social_exchange,4,2,0.768,draft_seed_needs_review
concept:hand,hand,body_action,4,2,0.613,draft_seed_needs_review
concept:house,house,place_social,4,2,0.582,draft_seed_needs_review
concept:idea,idea,cognition,4,2,0.799,draft_seed_needs_review
concept:law,law,social_order,4,2,0.582,draft_seed_needs_review
concept:money,money,social_exchange,4,2,0.644,draft_seed_needs_review
concept:name,name,identity_symbol,3,2,0.675,draft_seed_needs_review
concept:parent,parent,social_family,4,2,0.737,draft_seed_needs_review
concept:person,person,social,4,2,0.675,draft_seed_needs_review
concept:promise,promise,social_temporal,4,2,0.551,draft_seed_needs_review
concept:question,question,cognition_dialogue,4,2,0.551,draft_seed_needs_review
concept:reason,reason,cognition_logic,4,2,0.613,draft_seed_needs_review
concept:road,road,place_motion,4,2,0.644,draft_seed_needs_review
concept:sign,sign,language_symbol,4,2,0.706,draft_seed_needs_review
concept:silence,silence,language_absence,4,2,0.768,draft_seed_needs_review
concept:song,song,language_sound,4,1,0.551,draft_seed_needs_review
concept:sound,sound,language_body,4,2,0.737,draft_seed_needs_review
concept:story,story,language_memory,4,2,0.799,draft_seed_needs_review
concept:stranger,stranger,social_relation,4,2,0.799,draft_seed_needs_review
concept:thought,thought,cognition,4,2,0.768,draft_seed_needs_review
concept:voice,voice,body_expression,4,2,0.644,draft_seed_needs_review
concept:word,word,language,4,2,0.675,draft_seed_needs_review
concept:work,work,social_action,4,2,0.613,draft_seed_needs_review
